name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Terrasse Infini,"Av. Rep. Argentina, 1325 - Água Verde, Curitiba - PR, 80620-010",terrasse.com.br,https://www.terrasse.com.br,(41) 98786-2656,https://wa.me/5541987862656,condominio,curitiba,7,4.9,-25.4640099,-49.2896256
Luggo Lindoia,"R. Cap. João Zaleski, 842 - Lindoia, Curitiba - PR, 81010-080",alugue.luggo.com.br,https://www.alugue.luggo.com.br,(31) 4004-9080,https://wa.me/553140049080,condominio,curitiba,120,4.2,-25.458357,-49.3246859
Condomínio do Edifício Rio da Prata,"Condomínio Edifício Rio da Prata - Rua Guilherme Pugsley, 1950 - Água Verde, Curitiba - PR, 80620-000",,,(41) 3092-2950,https://wa.me/554130922950,condominio,curitiba,15,4.5,-25.458357,-49.3246859
Condomínio Fenix Curitiba,"R. Emílio Cornelsen, 200 - Ahú, Curitiba - PR, 80540-220",,,(41) 3024-4015,https://wa.me/554130244015,condominio,curitiba,101,4.6,-25.458357,-49.3246859
Condomínio Residencial Nossa Senhora De Fátima,"Rua Capitão Tenente Máris de Barros, 243 - Portão, Curitiba - PR, 80330-340",,,,,condominio,curitiba,98,4.2,-25.4076591,-49.294915
Condomínio Residencial Intercontinental,"Condomínio Edifício Intercontinental - Av. Rep. Argentina, 951 - Água Verde, Curitiba - PR, 80620-005",,,(41) 3343-5704,https://wa.me/554133435704,condominio,curitiba,3,4.7,-25.4699289,-49.334953
Conjunto Residencial Itália,"R. Francisco Frischmann, 2479 - Portão, Curitiba - PR, 80320-250",,,,,condominio,curitiba,4,4.3,-25.4699289,-49.334953
Condomínio Edifício Columbia,"R. Goiás, 90 - Água Verde, Curitiba - PR, 80620-060",,,,,condominio,curitiba,2,4.0,-25.4699289,-49.334953
Condomínio do Edifício das Palmeiras,"R. Palmeiras, 86 - Água Verde, Curitiba - PR, 80620-110",,,(41) 3045-1128,https://wa.me/554130451128,condominio,curitiba,12,4.4,-25.4699289,-49.334953
Condomínio Le Jardin,"R. Eng. Niepce da Silva, 144 - Portão, Curitiba - PR, 80610-280",,,(41) 3121-1235,https://wa.me/554131211235,condominio,curitiba,5,5.0,-25.4699289,-49.334953
Condomínio Village Doro,"Condomínio Edifício Village D Oro - R. Dom Pedro I, 342 - Água Verde, Curitiba - PR, 80620-130",,,(41) 3243-2281,https://wa.me/554132432281,condominio,curitiba,15,4.5,-25.4699289,-49.334953
Condomínio Residencial Spazio Colônia,"R. Maranhão, 1931 - Água Verde, Curitiba - PR, 80610-001",,,(41) 3013-2093,https://wa.me/554130132093,condominio,curitiba,10,4.2,-25.4699289,-49.334953
Felice Due Condomínio Club,"R. Prof. Álvaro Jorge - Entre Rua Guararapes e Av. República Argentina e - Vila Izabel, Curitiba - PR, 80610-260",,,(41) 3013-0630,https://wa.me/554130130630,condominio,curitiba,49,4.6,-25.4699289,-49.334953
Condomínio Residencial Tívoli,"R. Eng. Niepce da Silva, 200 - Portão, Curitiba - PR, 80610-900",,,,,condominio,curitiba,1,5.0,-25.4699289,-49.334953
Mônaco Administração de Condomínios,"Rua Guilherme Pugsley, 1367 - Água Verde, Curitiba - PR, 80620-000",monacoadm.com.br,https://www.monacoadm.com.br,(41) 3018-3878,https://wa.me/554130183878,condominio,curitiba,140,4.3,-25.4699289,-49.334953
Condominio Edificio Dona Lidia,"Rua Professor Dário Veloso, 186 - Vila Izabel, Curitiba - PR, 80320-050",,,,,condominio,curitiba,8,4.4,-25.4699289,-49.334953
Condomínio Botânica,"R. Cel. Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR, 80050-470",,,,,condominio,curitiba,819,4.6,-25.4699289,-49.334953
Condomínio Clermont Ferrand,"R. Morretes, 252 - Portão, Curitiba - PR, 80610-150",,,(41) 3229-0234,https://wa.me/554132290234,condominio,curitiba,10,4.0,-25.4688136,-49.3268796
Condomínio Residencial Portão,"R. Maranhão, 1850-1940 - Portão, Curitiba - PR, 80610-001",,,,,condominio,curitiba,7,5.0,-25.4688136,-49.3268796
Condomínio do Edifício Cyprus,"Rua Engenheiro Arthur Bettes, 76 - Portão, Curitiba - PR, 80610-290",,,(41) 3014-5331,https://wa.me/554130145331,condominio,curitiba,22,4.5,-25.4688136,-49.3268796
