name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
PASTELLO - MA,"Av. dos Holandeses - Olho D'agua, São Luís - MA, 65071-380",,,(98) 98402-2467,https://wa.me/5598984022467,pastelaria,são luis do maranhão,732,4.2,-2.5351173,-44.2872246
Pastelaria Paulista,"R. Urbâno Santos, 20-144 - Filipinho, São Luís - MA, 65043-000",,,(98) 99115-9493,https://wa.me/5598991159493,pastelaria,são luis do maranhão,383,4.5,-2.5351173,-44.2872246
Gran Pastelli,"Av. Beta, quadra 12 - Loja 06 - Parque Athenas, São Luís - MA, 65072-120",atacdelivery.com,https://www.atacdelivery.com,(98) 98505-8760,https://wa.me/5598985058760,pastelaria,são luis do maranhão,379,4.7,-2.5536838,-44.3376668
Luana Pastelaria,"Avenida Senador Acher Silva (Av, 3, 30 - Cohab Anil I, São Luís - MA, 65050-354",,,(98) 98236-9281,https://wa.me/5598982369281,pastelaria,são luis do maranhão,142,4.6,-2.5536838,-44.3376668
Japonês - O Rei do Pastel,"Av. Rui Barbosa, 61 - Centro, São Luís - MA, 65026-100",,,(98) 99615-9802,https://wa.me/5598996159802,pastelaria,são luis do maranhão,96,4.4,-2.5357659,-44.2918327
Pastelleiro,"Av. Jerônimo de Albuquerque - Cohafuma, São Luís - MA, 65065-545",instagram.com,https://www.instagram.com,(98) 99195-7567,https://wa.me/5598991957567,pastelaria,são luis do maranhão,59,4.5,-2.5411599,-44.3701288
Pastelaria super pastel,"Av. Principal Jardim Amẻrica, 62 - Cidade Operária, São Luís - MA, 65110-000",,,(98) 99970-2416,https://wa.me/5598999702416,pastelaria,são luis do maranhão,73,4.7,-2.5411599,-44.3701288
Pastelaria 420,"R. de Santana, 420 - Centro, São Luís - MA, 65015-440",,,(98) 3231-3496,https://wa.me/559832313496,pastelaria,são luis do maranhão,36,4.3,-2.5313909,-44.3718052
Pastel de Feira,"Bloco Q - Av. Coronel Colares Moreira, 400 - Loja 10 - Jardim Renascença, São Luís - MA, 65075-441",,,(98) 98881-2071,https://wa.me/5598988812071,pastelaria,são luis do maranhão,25,3.9,-2.5313909,-44.3718052
Haruo Pastel SLZ,"Av. João Pessoa, 379A - Filipinho, São Luís - MA, 65042-815",,,(98) 97000-2778,https://wa.me/5598970002778,pastelaria,são luis do maranhão,44,4.1,-2.5313909,-44.3718052
