name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Hospital Veterinário Estimma,"R. Bento de Arruda Camargo, 352 - Jardim Santana, Campinas - SP, 13088-650",estimma.com.br,https://www.estimma.com.br,(19) 2515-3600,https://wa.me/551925153600,veterinária,campinas,1094,4.5,-22.8823605,-47.1364954
Veterinary Medical Center Campinas,"R. Camargo Paes, 680 - Jardim Guanabara, Campinas - SP, 13073-350",centromedicoveterinario.com.br,https://www.centromedicoveterinario.com.br,(19) 3241-7765,https://wa.me/551932417765,veterinária,campinas,1167,4.7,-22.8823605,-47.1364954
Centro Veterinário Estados Unidos,"Av. Estados Unidos, 418 - Jardim Nova Europa, Campinas - SP, 13040-099",facebook.com,https://www.facebook.com,(19) 99811-3642,https://wa.me/5519998113642,veterinária,campinas,413,4.8,-22.8823605,-47.1364954
Hospital Veterinário Clínica Animal - Clínica Veterinária,"R. Expedicionário Ermelindo Antônio Petris Marangoni, 220 - Vila Pompéia, Campinas - SP, 13050-460",clinicanimalcampinas.com.br,https://www.clinicanimalcampinas.com.br,(19) 3386-8780,https://wa.me/551933868780,veterinária,campinas,921,4.7,-22.8823605,-47.1364954
Veterinary Clinic Pet Life - 24 hours,"Av. Ralfo Leite de Barros, 93 - Jardim Nova Europa, Campinas - SP, 13040-020",cvpetvida.com,https://www.cvpetvida.com,(19) 3203-5803,https://wa.me/551932035803,veterinária,campinas,422,4.7,-22.8823605,-47.1364954
Veterinário 24 Horas Campinas Clínica É dos Bichos,"R. Domício Pachêco e Silva, 1176 - Jardim Novo Campos Eliseos, Campinas - SP, 13060-190",veterinariocampinas.com.br,https://www.veterinariocampinas.com.br,(19) 2517-1050,https://wa.me/551925171050,veterinária,campinas,237,4.4,-22.9221428,-47.1793973
Hospital Veterinário Nova Campinas - 24 horas - Campinas SP,"Av. Dr. Jesuíno Marcondes Machado, 1077 - Nova Campinas, Campinas - SP, 13092-001",hvnc.com.br,https://www.hvnc.com.br,(19) 3520-3577,https://wa.me/551935203577,veterinária,campinas,498,4.8,-22.9221428,-47.1793973
CLÍNICA VETERINÁRIA MELPET 24 HORAS,"Av. Jorge Tibiriçá, 365 - Swift, Campinas - SP, 13045-706",melpetcampinas.com,https://www.melpetcampinas.com,(19) 3307-8723,https://wa.me/551933078723,veterinária,campinas,243,4.6,-22.8972516,-47.115219
CLÍNICA VETERINÁRIA MELPET 24 HORAS,"Av. Jorge Tibiriçá, 365 - Swift, Campinas - SP, 13045-706",melpetcampinas.com,https://www.hospitalverlengia.com.br,(19) 3242-2408,https://wa.me/551932422408,veterinária,campinas,1403,4.6,-22.8885768,-47.1489505
Verlengia Veterinary Hospital,"Av. Francisco José de Camargo Andrade, 111 - Jardim Chapadão, Campinas - SP, 13070-055",hospitalverlengia.com.br,https://www.hospitalverlengia.com.br,(19) 3242-2408,https://wa.me/551932422408,veterinária,campinas,1403,4.6,-22.8885768,-47.1489505
