name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude,status
Apolar Imóveis São José dos Pinhais Centro,"R. Voluntários da Pátria, 170 - Centro, São José dos Pinhais - PR, 83005-020",apolar.com.br,https://www.apolar.com.br,(41) 3283-3300,https://wa.me/554132833300,Imobiliária,"Centro, São José dos Pinhais",219,4.2,-25.5340709,-49.2230248,1
Ribeiro Imóveis,"Van Gogh Office - R. Joaquim Nabuco, 2197 - 2º andar - Centro, São José dos Pinhais - PR, 83005-160",ribeiroimoveis.com.br,https://www.ribeiroimoveis.com.br,(41) 3035-0404,https://wa.me/554130350404,Imobiliária,"Centro, São José dos Pinhais",440,3.9,-25.5387052,-49.2412489,1
Maia Imóveis,"Av. Rui Barbosa, 9761 - Centro, São José dos Pinhais - PR, 83005-340",maiaimoveissjp.com.br,https://www.maiaimoveissjp.com.br,(41) 3383-0404,https://wa.me/554133830404,Imobiliária,"Centro, São José dos Pinhais",34,4.3,-25.5387052,-49.2412489,1
Alegria Imobiliária,"R. Apucarana, 222 - Cruzeiro, São José dos Pinhais - PR, 83010-050",alegriaimobiliaria.com.br,https://www.alegriaimobiliaria.com.br,(41) 3383-7447,https://wa.me/554133837447,Imobiliária,"Centro, São José dos Pinhais",280,4.8,-25.5387052,-49.2412489,1
FG IMOVEIS,"Av. Rui Barbosa, 9500 - galeria Loja 07 - Centro, São José dos Pinhais - PR, 83005-340",fgimoveis.imb.br,https://www.fgimoveis.imb.br,(41) 99725-7810,https://wa.me/5541997257810,Imobiliária,"Centro, São José dos Pinhais",70,4.8,-25.5387052,-49.2412489,1
Imobiliárias CW Corretor de Imóveis,"Rua Veríssimo Marquês 1022 (Esquina com a Joaquim Nabuco - Centro, São José dos Pinhais - PR, 83005-150",cwimoveis.com.br,https://www.cwimoveis.com.br,(41) 3058-1558,https://wa.me/554130581558,Imobiliária,"Centro, São José dos Pinhais",168,3.2,-25.5387052,-49.2412489,1
Venturi Imóveis,"R. XV de Novembro, 911 - Centro, São José dos Pinhais - PR, 83030-480",venturiimoveis.com.br,https://www.venturiimoveis.com.br,(41) 3382-7000,https://wa.me/554133827000,Imobiliária,"Centro, São José dos Pinhais",165,4.2,-25.5387052,-49.2412489,1
Toniolo Estate Broker,"R. Ten. Djalma Dutra, 1115 - Sala 08 - Centro, São José dos Pinhais - PR, 83005-360",imoveistoniolo.com.br,https://www.imoveistoniolo.com.br,(41) 3382-0851,https://wa.me/554133820851,Imobiliária,"Centro, São José dos Pinhais",140,4.7,-25.5387052,-49.2412489,1
Apolar Afonso Pena - Imobiliaria em São José dos Pinhais,"R. Harry Feeken, 1232 - Loja 02 - Afonso Pena, São José dos Pinhais - PR, 83040-000",apolar.com.br,https://www.apolar.com.br,(41) 3283-3374,https://wa.me/554132833374,Imobiliária,"Centro, São José dos Pinhais",37,4.6,-25.5387052,-49.2412489,1
WN Imóveis SJP,"Tv. Brasil, 118 - Centro, São José dos Pinhais - PR, 83005-330",wnimoveissjp.com.br,https://www.wnimoveissjp.com.br,(41) 99179-0808,https://wa.me/5541991790808,Imobiliária,"Centro, São José dos Pinhais",88,5.0,-25.5387052,-49.2412489,1
