name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Consultório Veterinário em Curitiba | Dermatologia de Cães e Gatos | Dra. Adriana Babata,"Rua Marcos Mocellin, 314 - Santa Felicidade, Curitiba - PR, 82020-510",adrianababata.com.br,https://www.adrianababata.com.br,(41) 99960-5662,https://wa.me/5541999605662,veterinária,curitiba,57,5.0,-25.401902,-49.3446894
Clínica Veterinária Maestro Cão,"R. Morretes, 310 - Portão, Curitiba - PR, 80610-150",maestrocao.com.br,https://www.maestrocao.com.br,(41) 3026-5607,https://wa.me/554130265607,veterinária,curitiba,381,4.8,-25.4690275,-49.3084079
Pet Passeio - Pet Shop e Veterinária,"Av. Rep. Argentina, 2537 - Portão, Curitiba - PR, 80610-260",petpasseio.com.br,https://www.petpasseio.com.br,,,veterinária,curitiba,99,4.7,-25.4690275,-49.3084079
Clínica Veterinária Nossos Bichos,"Av. Presidente Arthur da Silva Bernardes, 1982 - Portão, Curitiba - PR, 80330-340",veterinarianossosbichos.com.br,https://www.veterinarianossosbichos.com.br,(41) 99947-9342,https://wa.me/5541999479342,veterinária,curitiba,224,4.5,-25.4690275,-49.3084079
Dra. Gabrielly Dranka - Veterinária Acupuntura e Ozonioterapia,"Av. Rep. Argentina, 2537 - Portão, Curitiba - PR, 80610-260",instagram.com,https://www.instagram.com,(41) 3227-7363,https://wa.me/554132277363,veterinária,curitiba,15,5.0,-25.4690275,-49.3084079
Clínica Veterinária Tânia Gomes,"R. João Rodolfo Schlenker, 195 - Água Verde, Curitiba - PR, 80620-000",,,(41) 3345-8447,https://wa.me/554133458447,veterinária,curitiba,52,4.9,-25.4690275,-49.3084079
Clínica Veterinária Bigode de Bicho,"R. Pará, 1834 - Água Verde, Curitiba - PR, 80610-020",facebook.com,https://www.facebook.com,(41) 3598-1282,https://wa.me/554135981282,veterinária,curitiba,591,4.7,-25.4690275,-49.3084079
Clínica Veterinária Pegadas,"R. Acre, 359 - Água Verde, Curitiba - PR, 80620-040",,,(41) 3329-4165,https://wa.me/554133294165,veterinária,curitiba,112,4.9,-25.4690275,-49.3084079
Snow Vet - Clínica Veterinária 24 horas em Curitiba,"Rua Luiz Parigot de Souza, 548 - loja 2 - Portão, Curitiba - PR, 81070-050",snowvet.com.br,https://www.snowvet.com.br,(41) 99868-0276,https://wa.me/5541998680276,veterinária,curitiba,336,4.6,-25.4690275,-49.3084079
GeoVet Clinica Veterinária e Banho e Tosa,"R. Prof. Ulisses Vieira, 448 - Vila Izabel, Curitiba - PR, 80320-090",geovet.simples.vet.br,https://www.geovet.simples.vet.br,(41) 99969-8341,https://wa.me/5541999698341,veterinária,curitiba,71,4.8,-25.4690275,-49.3084079
