name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude,status
DS Centro de Estética Avançada - Drenagem Linfática | Criolipólise | Limpeza de Pele - Clínica de Estética - Curitiba,"R. Prof. João Soares Barcelos, 363 - Hauer, Curitiba - PR, 81630-060",instagram.com,https://www.instagram.com,(41) 3501-4048,https://wa.me/554135014048,clinica estética,curitiba,76,4.9,-25.4836707,-49.2699648,1
Batel Advanced Aesthetics & Wellness,"Av. Sete de Setembro, 5881 - Batel, Curitiba - PR, 80240-001",esteticabatel.com.br,https://www.esteticabatel.com.br,(41) 99773-7373,https://wa.me/5541997737373,clinica estética,curitiba,2275,4.9,-25.477422,-49.2919224,1
Isis Spa e Estética Avançada,"R. Prof. João Soares Barcelos, 1611 - Hauer, Curitiba - PR, 81670-080",esteticaisis.com.br,https://www.esteticaisis.com.br,(41) 3402-8954,https://wa.me/554134028954,clinica estética,curitiba,148,4.9,-25.4484994,-49.3303596,1
Instituto DermaSoul - Clínica de Estética em Curitiba | Dra Anelisa Patron,"Av. Rep. Argentina, 2275 - 12⁰ andar sala 1215 - Água Verde, Curitiba - PR, 80610-260",portifoliodraanelisapatron.my.canva.site,https://www.portifoliodraanelisapatron.my.canva.site,(41) 99943-4737,https://wa.me/5541999434737,clinica estética,curitiba,58,5.0,-25.4875951,-49.2869965,1
Clínica Inticare - Estética Avançada Curitiba,"Rua Acyr Guimarães, 436 - Sala 1301 no 13º andar - Água Verde, Curitiba - PR, 80230-000",clinicainticare.com.br,https://www.clinicainticare.com.br,(41) 98460-6792,https://wa.me/5541984606792,clinica estética,curitiba,71,4.9,-25.4665768,-49.327995,1
Clínica Espaço Lindyce - Beleza e Estética,"Galeria Next Home - Av. Rep. Argentina, 2524 - Loja 2 - Portão, Curitiba - PR, 80610-260",espacolindyce.com.br,https://www.espacolindyce.com.br,(41) 99103-7923,https://wa.me/5541991037923,clinica estética,curitiba,152,5.0,-25.4665768,-49.327995,1
Clínica Amaris Skin - Estética Avançada,"Rua Alcino Guanabara, 1183 - Hauer, Curitiba - PR, 81630-190",amarisskin.com.br,https://www.amarisskin.com.br,(41) 3155-1740,https://wa.me/554131551740,clinica estética,curitiba,129,5.0,-25.4665768,-49.327995,1
Clinica de Estética Laiana Recielly,"R. João Bettega, 101 - Portão, Curitiba - PR, 80610-270",esteticalaianarecielly.com.br,https://www.esteticalaianarecielly.com.br,(41) 99569-8387,https://wa.me/5541995698387,clinica estética,curitiba,275,4.8,-25.48271,-49.2873332,1
Lour Clínica de Estética Unidade Novo Mundo,"Rua Salomão Guelmann, 400 - Novo Mundo, Curitiba - PR, 81050-050",lourestetica.com.br,https://www.lourestetica.com.br,(41) 99118-2049,https://wa.me/5541991182049,clinica estética,curitiba,40,4.9,-25.4746999,-49.3312072,1
UniVittae Clínica De Estética,"R. Eng. Niepce da Silva, 87 - Portão, Curitiba - PR, 80610-280",,,(41) 3598-9841,https://wa.me/554135989841,clinica estética,curitiba,45,4.3,-25.4746999,-49.3312072,1
