name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Santa Fé Hospital Veterinário - Portão,"R. Itacolomi, 1091 - Portão, Curitiba - PR, 81070-150",santafehv.com.br,https://www.santafehv.com.br,(41) 3093-9425,https://wa.me/554130939425,veterinária,"portão, curitiba",4200,4.9,-25.4796367,-49.3391667
Clínica Veterinária Maestro Cão,"R. Morretes, 310 - Portão, Curitiba - PR, 80610-150",maestrocao.com.br,https://www.maestrocao.com.br,(41) 3026-5607,https://wa.me/554130265607,veterinária,"portão, curitiba",379,4.8,-25.4796367,-49.3391667
Muvucão Clínica Veterinária e Petshop,"R. Carlos Dietzsch, 826 - Portão, Curitiba - PR, 80330-000",,,(41) 99263-3048,https://wa.me/5541992633048,veterinária,"portão, curitiba",125,4.9,-25.4796367,-49.3391667
Clínica Veterinária Magia Animal,"R. São Mateus, 233 - Portão, Curitiba - PR, 81070-080",veterinariamagiaanimal.com,https://www.veterinariamagiaanimal.com,(41) 3229-6537,https://wa.me/554132296537,veterinária,"portão, curitiba",299,4.9,-25.4796367,-49.3391667
Snow Vet - Clínica Veterinária 24 horas em Curitiba,"Rua Luiz Parigot de Souza, 548 - loja 2 - Portão, Curitiba - PR, 81070-050",snowvet.com.br,https://www.snowvet.com.br,(41) 99868-0276,https://wa.me/5541998680276,veterinária,"portão, curitiba",354,4.6,-25.4796367,-49.3391667
SAVE - Centro Veterinário 24h (Particular) Especializado em EMERGÊNCIA e URGÊNCIA em Curitiba,"R. Carlos Dietzsch, 488 - Portão, Curitiba - PR, 80330-000",,,(41) 3045-5808,https://wa.me/554130455808,veterinária,"portão, curitiba",148,4.0,-25.4796367,-49.3391667
Ming Pet Shop,"Rua Dr. Lauro Wolff Valente, 4 - Portão, Curitiba - PR, 81070-010",,,(41) 3345-5280,https://wa.me/554133455280,veterinária,"portão, curitiba",39,5.0,-25.4796367,-49.3391667
Rutz Veterinary Clinic,"R. Pedro Hansaul, 149 - Portão, Curitiba - PR, 81070-220",,,(41) 3229-0681,https://wa.me/554132290681,veterinária,"portão, curitiba",469,4.7,-25.4796367,-49.3391667
Clínica Veterinária Nossos Bichos,"Av. Presidente Arthur da Silva Bernardes, 1982 - Portão, Curitiba - PR, 80330-340",veterinarianossosbichos.com.br,https://www.veterinarianossosbichos.com.br,(41) 99947-9342,https://wa.me/5541999479342,veterinária,"portão, curitiba",232,4.5,-25.4796367,-49.3391667
Green Vet Clínica Veterinária,"R. Padre Leonardo Nunes, 862 - Portão, Curitiba - PR, 80330-320",greenvet.simples.vet.br,https://www.greenvet.simples.vet.br,(41) 99533-7232,https://wa.me/5541995337232,veterinária,"portão, curitiba",188,5.0,-25.4796367,-49.3391667
Pata Limpa - Clínica Veterinária e PetShop,"R. Alexandre Salata, 530 - Guaíra, Curitiba - PR, 81010-030",patalimpa.com.br,https://www.patalimpa.com.br,(41) 99716-7423,https://wa.me/5541997167423,veterinária,"portão, curitiba",111,4.8,-25.4755647,-49.3048523
Pet Passeio - Pet Shop e Veterinária,"Av. Rep. Argentina, 2537 - Portão, Curitiba - PR, 80610-260",petpasseio.com.br,https://www.petpasseio.com.br,,,veterinária,"portão, curitiba",102,4.7,-25.4755647,-49.3048523
Thiago Sampietri VET,"R. Antônio Ader - Fanny, Curitiba - PR, 81030-310",,,,,veterinária,"portão, curitiba",,,-25.4851732,-49.3089968
Patrulha Canina Pet Shop,"R. Antônio Ader, 379 - Fanny, Curitiba - PR, 81030-310",,,(41) 3039-0057,https://wa.me/554130390057,veterinária,"portão, curitiba",47,4.8,-25.4851732,-49.3089968
Gisela Costa Médica Veterinária Clínica Geral | Pós-graduada em Gastroenterologia de Cães e Gatos,"R. Paraíba, 3496 - Portão, Curitiba - PR, 80610-190",,,(41) 99697-2423,https://wa.me/5541996972423,veterinária,"portão, curitiba",31,4.9,-25.4851732,-49.3089968
Clínica Veterinária Bigode de Bicho,"R. Pará, 1834 - Água Verde, Curitiba - PR, 80610-020",facebook.com,https://www.facebook.com,(41) 3598-1282,https://wa.me/554135981282,veterinária,"portão, curitiba",598,4.8,-25.4851732,-49.3089968
PET SHOP NO PORTÃO - BLISS BEE PET,"R. João Bettega, 649 - Portão, Curitiba - PR, 81070-000",blissbeepet.com.br,https://www.blissbeepet.com.br,(41) 99572-7988,https://wa.me/5541995727988,veterinária,"portão, curitiba",73,5.0,-25.4719172,-49.3268103
CLÍNICA VETERINÁRIA PRONTOVET,"Av. Pres. Kennedy, 2997 - Guaíra, Curitiba - PR, 80610-011",hospitalveterinarioprontovet.com,https://www.hospitalveterinarioprontovet.com,(41) 3229-5036,https://wa.me/554132295036,veterinária,"portão, curitiba",177,4.7,-25.4719172,-49.3268103
Social Dog Veterinária,"R. Alagoas, 3020 - Guaíra, Curitiba - PR, 80630-050",,,(41) 99681-4065,https://wa.me/5541996814065,veterinária,"portão, curitiba",2,5.0,-25.4719172,-49.3268103
Dra. Gabrielly Dranka - Veterinária Acupuntura e Ozonioterapia,"Av. Rep. Argentina, 2537 - Portão, Curitiba - PR, 80610-260",instagram.com,https://www.instagram.com,(41) 3227-7363,https://wa.me/554132277363,veterinária,"portão, curitiba",15,5.0,-25.4719172,-49.3268103
Clínica Veterinária Torres,"R. João Bettega, 1540 - Portão, Curitiba - PR, 81070-001",,,(41) 3345-3797,https://wa.me/554133453797,veterinária,"portão, curitiba",136,4.7,-25.4719172,-49.3268103
Pet Motta,"Av. Rep. Argentina, 2524 - sala 06 - Portão, Curitiba - PR, 80610-260",facebook.com,https://www.facebook.com,(41) 99789-3495,https://wa.me/5541997893495,veterinária,"portão, curitiba",35,5.0,-25.4770547,-49.344904
Clinica Veterinaria EcoVille,"R. Pedro Hansaul, 161 - Portão, Curitiba - PR, 81070-220",,,3229-0681,https://wa.me/5532290681,veterinária,"portão, curitiba",1,5.0,-25.4770547,-49.344904
Centro de Estética Animal Portão,"R. Itatiaia, 1131 - Portão, Curitiba - PR, 81070-100",,,(41) 99867-5840,https://wa.me/5541998675840,veterinária,"portão, curitiba",13,4.7,-25.4770547,-49.344904
Veterinary clinic Guaira,"R. Alagoas, 2492 - Guaíra, Curitiba - PR, 80630-050",instagram.com,https://www.instagram.com,(41) 98739-2833,https://wa.me/5541987392833,veterinária,"portão, curitiba",145,4.6,-25.4770547,-49.344904
Newvet Puppy - Clínica veterinária e petshop,"rua Randolfo Serzedelo, R. Maestro Francisco Antonello, 423 - Fanny, Curitiba - PR, 81030-100",newvetpuppy.com.br,https://www.newvetpuppy.com.br,(41) 3408-8428,https://wa.me/554134088428,veterinária,"portão, curitiba",71,4.3,-25.4721296,-49.3138691
HemolifePet,"R. João Bettega, 101 - Conj 31 - Portão, Curitiba - PR, 81070-000",instagram.com,https://www.instagram.com,(41) 99623-7619,https://wa.me/5541996237619,veterinária,"portão, curitiba",45,4.9,-25.4721296,-49.3138691
