name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude,status
Snow Vet - Clínica Veterinária 24 horas em Curitiba,"Rua Luiz Parigot de Souza, 548 - loja 2 - Portão, Curitiba - PR, 81070-050",snowvet.com.br,https://www.snowvet.com.br,(41) 99868-0276,https://wa.me/5541998680276,veterinária,curitiba,354,4.6,-25.475529,-49.3345316,1
Santa Fé Hospital Veterinário - Portão,"R. Itacolomi, 1091 - Portão, Curitiba - PR, 81070-150",santafehv.com.br,https://www.santafehv.com.br,(41) 3093-9425,https://wa.me/554130939425,veterinária,curitiba,4200,4.9,-25.475529,-49.3345316,1
Clinica Veterinária Vivavet,"R. Brasílio Ribas, 595 - Novo Mundo, Curitiba - PR, 81030-440",,,(41) 3156-0523,https://wa.me/554131560523,veterinária,curitiba,51,4.8,-25.4906542,-49.3145163,1
Centro Veterinário Vidas de Amor,"R. Miguel Poholink, 114 - Hauer, Curitiba - PR, 81610-220",vetvidasdeamor.com.br,https://www.vetvidasdeamor.com.br,(41) 99713-1073,https://wa.me/5541997131073,veterinária,curitiba,90,4.9,-25.4838684,-49.2816201,1
Hospital Veterinário Derosso,"Rua Líbero Sant'Ana Nunes, 40 - Xaxim, Curitiba - PR, 81830-130",veterinariaderosso.com.br,https://www.veterinariaderosso.com.br,(41) 3275-8180,https://wa.me/554132758180,veterinária,curitiba,538,4.5,-25.508426,-49.3003616,1
Hospital Veterinário Nivo Auffinger Hauer,"Rua Presidente Pádua Fleury, 1310 - Hauer, Curitiba - PR, 81630-240",nivoauffinger.com.br,https://www.nivoauffinger.com.br,(41) 3076-6234,https://wa.me/554130766234,veterinária,curitiba,16,3.8,-25.4786929,-49.2920183,1
Pata Limpa - Clínica Veterinária e PetShop,"R. Alexandre Salata, 530 - Guaíra, Curitiba - PR, 81010-030",patalimpa.com.br,https://www.patalimpa.com.br,(41) 99716-7423,https://wa.me/5541997167423,veterinária,curitiba,111,4.8,-25.4786929,-49.2920183,1
Clínica Veterinária Magia Animal,"R. São Mateus, 233 - Portão, Curitiba - PR, 81070-080",veterinariamagiaanimal.com,https://www.veterinariamagiaanimal.com,(41) 3229-6537,https://wa.me/554132296537,veterinária,curitiba,299,4.9,-25.4773774,-49.3326892,1
Santa Monica Veterinary Hospital,"R. Brg. Franco, 4029 - Rebouças, Curitiba - PR, 80220-100",hvsm.com.br,https://www.hvsm.com.br,(41) 3332-5590,https://wa.me/554133325590,veterinária,curitiba,527,4.5,-25.4549436,-49.3060113,1
TopClin Pet,"R. Alferes Poli, 1164 - Centro, Curitiba - PR, 80220-050",topclinpet.com.br,https://www.topclinpet.com.br,(41) 99903-9298,https://wa.me/5541999039298,veterinária,curitiba,167,4.3,-25.4549436,-49.3060113,1
Clínica Veterinária Maestro Cão - Unidade 24h,"Av. Iguaçu, 1649 - Água Verde, Curitiba - PR, 80240-030",maestrocao.com.br,https://www.maestrocao.com.br,(41) 3093-5575,https://wa.me/554130935575,veterinária,curitiba,419,4.5,-25.4549436,-49.3060113,1
SAVE - Centro Veterinário 24h (Particular) Especializado em EMERGÊNCIA e URGÊNCIA em Curitiba,"R. Carlos Dietzsch, 488 - Portão, Curitiba - PR, 80330-000",,,(41) 3045-5808,https://wa.me/554130455808,veterinária,curitiba,148,4.0,-25.4714069,-49.3350813,1
CLÍNICA VETERINÁRIA PRONTOVET,"Av. Pres. Kennedy, 2997 - Guaíra, Curitiba - PR, 80610-011",hospitalveterinarioprontovet.com,https://www.hospitalveterinarioprontovet.com,(41) 3229-5036,https://wa.me/554132295036,veterinária,curitiba,177,4.7,-25.4714069,-49.3350813,1
BIOS Centro Veterinário 24h - Dr. César Lunardi - Petclin,"Rua 24 de Maio, 1415 - Rebouças, Curitiba - PR, 80220-060",bios.vet.br,https://www.bios.vet.br,(41) 99221-5551,https://wa.me/5541992215551,veterinária,curitiba,221,4.9,-25.4488214,-49.304588,1
Hospital Veterinário Nivo Auffinger,"R. Eponino Macuco, 101 - Capão Raso, Curitiba - PR, 81110-450",nivoauffinger.com.br,https://www.nivoauffinger.com.br,(41) 3018-3005,https://wa.me/554130183005,veterinária,curitiba,1183,4.3,-25.5022706,-49.3311046,1
Newvet Puppy - Clínica veterinária e petshop,"rua Randolfo Serzedelo, R. Maestro Francisco Antonello, 423 - Fanny, Curitiba - PR, 81030-100",newvetpuppy.com.br,https://www.newvetpuppy.com.br,(41) 3408-8428,https://wa.me/554134088428,veterinária,curitiba,71,4.3,-25.4754099,-49.3000826,1
Alles Blau Veterinary Clinic,"Rua Guilherme Pugsley, 1206 - Água Verde, Curitiba - PR, 80620-000",hvallesblau.com.br,https://www.hvallesblau.com.br,(41) 3019-4555,https://wa.me/554130194555,veterinária,curitiba,175,4.6,-25.4567355,-49.322509,1
