name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude,status
Apolar Locação Centro,"R. Conselheiro Laurindo, 478 - Centro, Curitiba - PR, 80060-100",apolar.com.br,https://www.apolar.com.br,(41) 3542-1322,https://wa.me/554135421322,Imobiliária,"Centro, Curitiba",2151,3.7,-25.437448,-49.291733,1
Gonzaga,"Av. Sete de Setembro, 3695 - Rebouças, Curitiba - PR, 80230-010",gonzagaimoveis.com.br,https://www.gonzagaimoveis.com.br,(41) 3013-2222,https://wa.me/554130132222,Imobiliária,"Centro, Curitiba",6865,4.6,-25.4408236,-49.3103511,1
Cilar estate - Rent / sale,"Rua Visconde de Nácar, 1140 - Centro, Curitiba - PR, 80410-201",cilar.com.br,https://www.cilar.com.br,(41) 3233-0101,https://wa.me/554132330101,Imobiliária,"Centro, Curitiba",725,3.6,-25.4408236,-49.3103511,1
Galvão Locações,"R. Monsenhor Celso, 231 - SOBRELOJA - Centro, Curitiba - PR, 80010-150",galvao.com.br,https://www.galvao.com.br,(41) 3072-5500,https://wa.me/554130725500,Imobiliária,"Centro, Curitiba",4571,4.8,-25.4408236,-49.3103511,1
Imobiliária 2000,"R. XV de Novembro, 960 - Centro, Curitiba - PR, 80060-000",imobiliaria2000.com.br,https://www.imobiliaria2000.com.br,(41) 3250-2000,https://wa.me/554132502000,Imobiliária,"Centro, Curitiba",705,3.9,-25.4408236,-49.3103511,1
Imobiliária Paraíso,"R. Ébano Pereira, 348 - Centro, Curitiba - PR, 80410-240",imobiliariaparaiso.com.br,https://www.imobiliariaparaiso.com.br,(41) 3233-6025,https://wa.me/554132336025,Imobiliária,"Centro, Curitiba",286,4.5,-25.4408236,-49.3103511,1
Imobiliária Mota - Imóveis em Curitiba,"R. Mal. Deodoro, 2044 - Alto da XV, Curitiba - PR, 80045-090",imobiliariamota.com.br,https://www.imobiliariamota.com.br,(41) 3029-3443,https://wa.me/554130293443,Imobiliária,"Centro, Curitiba",174,4.0,-25.427661,-49.2890433,1
Imobiliária Razão,"Rua Visconde de Nácar, 1210 - Centro, Curitiba - PR, 80410-201",irazao.com.br,https://www.irazao.com.br,(41) 3028-2020,https://wa.me/554130282020,Imobiliária,"Centro, Curitiba",1526,3.9,-25.427661,-49.2890433,1
Cadena Imóveis,"Rua Acyr Guimarães, 180 - Água Verde, Curitiba - PR, 80240-230",cadenaimoveis.com.br,https://www.cadenaimoveis.com.br,(41) 3121-3565,https://wa.me/554131213565,Imobiliária,"Centro, Curitiba",1024,4.7,-25.433151,-49.3138409,1
Cibraco Imóveis,"R. Ébano Pereira, 266 - Centro, Curitiba - PR, 80410-240",cibraco.com.br,https://www.cibraco.com.br,(41) 3072-1818,https://wa.me/554130721818,Imobiliária,"Centro, Curitiba",808,4.5,-25.433151,-49.3138409,1
Pesquisa Imóveis,"R. Conselheiro Laurindo, 600 - 4º Andar - Centro, Curitiba - PR, 80060-100",pesquisaimoveis.com.br,https://www.pesquisaimoveis.com.br,(41) 3028-5252,https://wa.me/554130285252,Imobiliária,"Centro, Curitiba",396,3.8,-25.433151,-49.3138409,1
Norway Real Estate Advisory,"R. Nunes Machado, 1129 - Centro, Curitiba - PR, 80250-000",imobiliarianoruega.com.br,https://www.imobiliarianoruega.com.br,(41) 3213-5758,https://wa.me/554132135758,Imobiliária,"Centro, Curitiba",4803,4.9,-25.433151,-49.3138409,1
HI! Imóveis,"R. Mal. Deodoro, 450 - Conjunto 304 - Centro, Curitiba - PR, 80010-010",hiimoveis.com.br,https://www.hiimoveis.com.br,(41) 3402-6589,https://wa.me/554134026589,Imobiliária,"Centro, Curitiba",65,4.8,-25.433151,-49.3138409,1
Diamond Imóveis,"R. Ébano Pereira, 11 - quinto andar - Centro, Curitiba - PR, 80410-240",diamondimoveis.com.br,https://www.diamondimoveis.com.br,(41) 3045-5958,https://wa.me/554130455958,Imobiliária,"Centro, Curitiba",89,4.1,-25.433151,-49.3138409,1
Casa Ao Lado - Imobiliária & Boa Vizinhança,"Av. Visc. de Guarapuava, 3966 - Batel, Curitiba - PR, 80250-220",casaaolado.com,https://www.casaaolado.com,(41) 3072-3999,https://wa.me/554130723999,Imobiliária,"Centro, Curitiba",344,4.4,-25.433151,-49.3138409,1
Apolar Imóveis Centro Vendas,"R. Conselheiro Laurindo, 441 - Centro, Curitiba - PR, 80060-100",apolar.com.br,https://www.apolar.com.br,(41) 3320-5858,https://wa.me/554133205858,Imobiliária,"Centro, Curitiba",219,3.4,-25.433151,-49.3138409,1
Perine imobiliária,"Rua Emiliano Perneta, 390 - sala 1111 Salas 1111,1107,1105 e 1109 - Centro, Curitiba - PR, 80420-080",perine.com.br,https://www.perine.com.br,(41) 99894-3735,https://wa.me/5541998943735,Imobiliária,"Centro, Curitiba",80,4.8,-25.433151,-49.3138409,1
Imobiliária Studios Curitiba,"Av. Visc. de Guarapuava, 2305 - Centro, Curitiba - PR, 80010-100",studioscuritiba.com.br,https://www.studioscuritiba.com.br,(41) 99698-9292,https://wa.me/5541996989292,Imobiliária,"Centro, Curitiba",71,5.0,-25.433151,-49.3138409,1
Exon Imóveis,"Rua Visconde de Nácar, 865 - Sala 602 e 603 - Centro, Curitiba - PR, 80410-201",exonimoveis.com.br,https://www.exonimoveis.com.br,(41) 3045-1400,https://wa.me/554130451400,Imobiliária,"Centro, Curitiba",127,4.9,-25.433151,-49.3138409,1
Absoluta Imóveis,"R. Comendador Macedo, 410 C - Centro, Curitiba - PR, 80060-030",absolutaimoveis.com.br,https://www.absolutaimoveis.com.br,(41) 3016-1188,https://wa.me/554130161188,Imobiliária,"Centro, Curitiba",194,4.3,-25.433151,-49.3138409,1
Living 41 Soluções Imobiliárias,"R. XV de Novembro, 1155 - sala 1304 - Centro, Curitiba - PR, 80060-000",living41.com.br,https://www.living41.com.br,(41) 99679-3129,https://wa.me/5541996793129,Imobiliária,"Centro, Curitiba",52,4.8,-25.433151,-49.3138409,1
RE/MAX Start - Imobiliária Curitiba,"R. Des. Westphalen, 622 - Cj 23 - Centro, Curitiba - PR, 80010-110",remax.com.br,https://www.remax.com.br,(41) 99940-2002,https://wa.me/5541999402002,Imobiliária,"Centro, Curitiba",282,4.9,-25.433151,-49.3138409,1
7th Avenue - Yogha,"R. Conselheiro Laurindo, 1138 - Centro, Curitiba - PR, 80230-180",yogha.com.br,https://www.yogha.com.br,(41) 99694-1949,https://wa.me/5541996941949,Imobiliária,"Centro, Curitiba",836,4.7,-25.433151,-49.3138409,1
Prates Real Estate Ltda.,"R. Olavo Bilac, 119 - Batel, Curitiba - PR, 80440-040",casaprates.com.br,https://www.casaprates.com.br,(41) 3019-0444,https://wa.me/554130190444,Imobiliária,"Centro, Curitiba",493,4.1,-25.433151,-49.3138409,1
Sym Imóveis,"Hotel NH Collection Curitiba - R. Nunes Machado, 68 - Conjunto 902 - Centro, Curitiba - PR, 80250-000",symimoveis.com.br,https://www.symimoveis.com.br,(41) 3773-0105,https://wa.me/554137730105,Imobiliária,"Centro, Curitiba",241,4.7,-25.433151,-49.3138409,1
