name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Paraiso,"Rua Correia Dias, 153 - Paraíso, São Paulo - SP, 04104-000",paraisovetcare.com.br,https://www.paraisovetcare.com.br,(11) 3052-0631,https://wa.me/551130520631,veterinária,São Paulo,137,4.7,-23.6230964,-46.7610674
Hospital Veterinário Santa Inês,"Av. Santa Inês, 1357 - Santana, São Paulo - SP, 02415-001",santainesvet.com.br,https://www.santainesvet.com.br,(11) 2265-6911,https://wa.me/551122656911,veterinária,São Paulo,1985,4.5,-23.576452,-46.9302251
São Paulo Veterinary Hospital,"Av. Nordestina, 581 - Vila Americana, São Paulo - SP, 08021-000",hovetsp.com.br,https://www.hovetsp.com.br,(11) 2533-0000,https://wa.me/551125330000,veterinária,São Paulo,2420,4.5,-23.576452,-46.9302251
Animal Life | Hospital Veterinário no Morumbi - SP | Veterinários 24 Horas,"R. Clarindo, 27 - Vila Andrade, São Paulo - SP, 05718-300",animalife.com.br,https://www.animalife.com.br,(11) 3774-0203,https://wa.me/551137740203,veterinária,São Paulo,460,4.8,-23.4981209,-46.7291565
Veterinary Vet People's Hospital,"Av. Conselheiro Carrão, 2694 - Vila Carrão, São Paulo - SP, 03402-002",vetpopular.com.br,https://www.vetpopular.com.br,(11) 5555-3517,https://wa.me/551155553517,veterinária,São Paulo,3597,4.4,-23.6367594,-47.0247753
Animal Center São Paulo,"Estrada do M'Boi Mirim, 2084 - Jardim das Flores, São Paulo - SP, 04905-001",animalcentersp.com.br,https://www.animalcentersp.com.br,(11) 2129-6500,https://wa.me/551121296500,veterinária,São Paulo,893,4.4,-23.5494883,-46.824375
Clínica veterinária Animal Center 2 - 24 horas,"Av. Paulo Guilguer Reimberg, 204 - Vila Maria Fernandes, São Paulo - SP, 04856-200",animalcentersp.com.br,https://www.animalcentersp.com.br,(11) 2767-3516,https://wa.me/551127673516,veterinária,São Paulo,571,4.5,-23.6757172,-47.040117
Veterinary Medical Center - 24 Hours,"Estrada do M'Boi Mirim, 2084 - Jardim das Flores, São Paulo - SP, 04905-021",animalcentersp.com.br,https://www.animalcentersp.com.br,(11) 2129-6500,https://wa.me/551121296500,veterinária,São Paulo,588,4.3,-23.6757172,-47.040117
Animal Bello Clínica Veterinária 24Horas,"R. Martiniano de Carvalho, 62 - e 81 - Bela Vista, São Paulo - SP, 01321-000",animalbello.com,https://www.animalbello.com,(11) 99149-1021,https://wa.me/5511991491021,veterinária,São Paulo,144,4.2,-23.6757172,-47.040117
Wildvet Clínica Veterinária,"R. Prof. Vahia de Abreu, 514 - Itaim Bibi, São Paulo - SP, 04549-002",wildvet.com.br,https://www.wildvet.com.br,(11) 3045-0045,https://wa.me/551130450045,veterinária,São Paulo,985,4.7,-23.6757172,-47.040117
